Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh,CEV_3_SOE_kWh,CEV_3_Max_SOE_kWh,CEV_3_Min_SOE_kWh,CEV_4_SOE_kWh,CEV_4_Max_SOE_kWh,CEV_4_Min_SOE_kWh
1,00:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
2,00:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
3,00:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
4,00:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
5,01:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
6,01:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
7,01:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
8,01:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
9,02:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
10,02:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
11,02:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
12,02:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
13,03:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
14,03:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
15,03:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
