Unnamed: 0,SOE_min,SOE_max,SOE_ini,ch_rate,power,max_speed,road_consumption
e1,3.96,19.8,19.8,8.8,7,2.8,0.6
e2,5.0,25.0,25.0,8.0,6.8,2.8,0.6
