Time_Period,Time_Label,Total_Charging_Power_kW,Total_Discharging_Power_kW,Net_Power_kW
1,00:00:00,0.0,0.0,0.0
2,00:15:00,0.0,0.0,0.0
3,00:30:00,0.0,0.0,0.0
4,00:45:00,0.0,0.0,0.0
5,01:00:00,0.0,0.0,0.0
6,01:15:00,0.0,0.0,0.0
7,01:30:00,0.0,0.0,0.0
8,01:45:00,0.0,0.0,0.0
9,02:00:00,0.0,0.0,0.0
10,02:15:00,0.0,0.0,0.0
11,02:30:00,0.0,0.0,0.0
12,02:45:00,0.0,0.0,0.0
13,03:00:00,0.0,0.0,0.0
14,03:15:00,0.0,0.0,0.0
15,03:30:00,0.0,0.0,0.0
16,03:45:00,0.0,0.0,0.0
17,04:00:00,0.0,0.0,0.0
18,04:15:00,0.0,0.0,0.0
19,04:30:00,0.0,0.0,0.0
20,04:45:00,0.0,0.0,0.0
21,05:00:00,0.0,0.0,0.0
22,05:15:00,0.0,0.0,0.0
23,05:30:00,0.0,0.0,0.0
24,05:45:00,0.0,0.0,0.0
25,06:00:00,0.0,0.0,0.0
26,06:15:00,0.0,0.0,0.0
27,06:30:00,0.0,0.0,0.0
28,06:45:00,0.0,0.0,0.0
29,07:00:00,0.0,0.0,0.0
30,07:15:00,0.0,0.0,0.0
31,07:30:00,0.0,0.0,0.0
32,07:45:00,0.0,0.0,0.0
33,08:00:00,0.0,0.0,0.0
34,08:15:00,0.0,0.0,0.0
35,08:30:00,0.0,0.0,0.0
36,08:45:00,0.0,0.0,0.0
37,09:00:00,0.0,0.0,0.0
38,09:15:00,0.0,0.0,0.0
39,09:30:00,0.0,0.0,0.0
40,09:45:00,0.0,0.0,0.0
41,10:00:00,0.0,0.0,0.0
42,10:15:00,0.0,0.0,0.0
43,10:30:00,0.0,0.0,0.0
44,10:45:00,0.0,0.0,0.0
45,11:00:00,0.0,26.799999999999997,-26.799999999999997
46,11:15:00,0.0,26.799999999999997,-26.799999999999997
47,11:30:00,0.0,26.799999999999997,-26.799999999999997
48,11:45:00,0.0,26.799999999999997,-26.799999999999997
49,12:00:00,17.293841892179792,0.0,17.293841892179792
50,12:15:00,17.293841892179866,0.0,17.293841892179866
51,12:30:00,17.293841892179866,1.0969003483296548e-14,17.293841892179856
52,12:45:00,17.293841892179866,1.3500311979441904e-14,17.293841892179852
53,13:00:00,17.293841892179866,1.3500311979441904e-14,17.293841892179852
54,13:15:00,17.293841892179866,17.999999999999986,-0.7061581078201193
55,13:30:00,17.293841892179866,-2.3035698317416247e-13,17.293841892180097
56,13:45:00,17.29384189217982,7.931433287922119e-14,17.293841892179742
57,14:00:00,0.0,0.0,0.0
58,14:15:00,0.0,0.0,0.0
59,14:30:00,0.0,0.0,0.0
60,14:45:00,0.0,0.0,0.0
61,15:00:00,0.0,0.0,0.0
62,15:15:00,0.0,0.0,0.0
63,15:30:00,0.0,0.0,0.0
64,15:45:00,0.0,0.0,0.0
65,16:00:00,0.0,0.0,0.0
66,16:15:00,0.0,0.0,0.0
67,16:30:00,0.3750266354138962,0.0,0.3750266354138962
68,16:45:00,-1.2596879525940835e-13,-1.1368683772161603e-13,-1.2281957537792322e-14
69,17:00:00,0.0,49.799999999999955,-49.799999999999955
70,17:15:00,17.293841892179866,32.999999999999964,-15.706158107820098
71,17:30:00,17.293841892179866,16.799999999999844,0.49384189218002206
72,17:45:00,17.293841892179866,32.999999999999964,-15.706158107820098
73,18:00:00,17.293841892179866,16.799999999999937,0.4938418921799297
74,18:15:00,17.293841892179866,17.999999999999986,-0.7061581078201193
75,18:30:00,17.293841892179866,32.999999999999986,-15.70615810782012
76,18:45:00,17.293841892179866,33.000000000001464,-15.706158107821597
77,19:00:00,17.293841892179866,31.999999999999414,-14.706158107819547
78,19:15:00,17.293841892179866,15.000000000000009,2.2938418921798576
79,19:30:00,17.29384189217985,16.799999999999503,0.49384189218034535
80,19:45:00,17.293841892179866,16.79999999999995,0.4938418921799155
81,20:00:00,17.293841892179866,8.000000000000119,9.293841892179747
82,20:15:00,17.293841892179866,16.79999999999995,0.4938418921799155
83,20:30:00,17.293841892179866,8.000000000000012,9.293841892179854
84,20:45:00,17.293841892179866,1.3500311979441904e-14,17.293841892179852
85,21:00:00,17.293841892179866,0.0,17.293841892179866
86,21:15:00,17.293841892179866,15.999999999999915,1.2938418921799517
87,21:30:00,17.293841892179866,8.000000000000027,9.29384189217984
88,21:45:00,17.293841892179866,15.000000000000009,2.2938418921798576
89,22:00:00,17.293841892179866,15.000000000000009,2.2938418921798576
90,22:15:00,17.293841892179866,1.3500311979441904e-14,17.293841892179852
91,22:30:00,17.293841892179866,1.3500311979441904e-14,17.293841892179852
92,22:45:00,17.293841892179866,1.3500311979441904e-14,17.293841892179852
93,23:00:00,17.293841892179866,-2.0250467969162855e-13,17.29384189218007
94,23:15:00,17.293841892179866,4.999999999999819,12.293841892180048
95,23:30:00,17.29384189218009,0.0,17.29384189218009
96,23:45:00,0.0,0.0,0.0
