Metric,Value
Total_Grid_Energy_kWh,48.99715701997378
Total_Energy_Cost_USD,9.78465884239686
Total_CO2_Emissions_kg,4.699829421198429
Peak_Demand_kW,11.000000000000611
Total_Missed_Work_kWh,1.991062499999714
Delta_T_hours,0.25
