Time_Period,Time_Label,Total_Charging_Power_kW,Total_Discharging_Power_kW,Net_Power_kW
1,00:00:00,0.0,0.0,0.0
2,00:15:00,0.0,0.0,0.0
3,00:30:00,0.0,0.0,0.0
4,00:45:00,0.0,0.0,0.0
5,01:00:00,0.0,0.0,0.0
6,01:15:00,0.0,0.0,0.0
7,01:30:00,0.0,0.0,0.0
8,01:45:00,0.0,0.0,0.0
9,02:00:00,0.0,0.0,0.0
10,02:15:00,0.0,0.0,0.0
11,02:30:00,0.0,0.0,0.0
12,02:45:00,0.0,0.0,0.0
13,03:00:00,0.0,0.0,0.0
14,03:15:00,0.0,0.0,0.0
15,03:30:00,0.0,0.0,0.0
16,03:45:00,0.0,0.0,0.0
17,04:00:00,0.0,0.0,0.0
18,04:15:00,0.0,0.0,0.0
19,04:30:00,0.0,0.0,0.0
20,04:45:00,0.0,0.0,0.0
21,05:00:00,0.0,0.0,0.0
22,05:15:00,0.0,0.0,0.0
23,05:30:00,0.0,0.0,0.0
24,05:45:00,0.0,0.0,0.0
25,06:00:00,0.0,0.0,0.0
26,06:15:00,0.0,0.0,0.0
27,06:30:00,0.0,0.0,0.0
28,06:45:00,0.0,0.0,0.0
29,07:00:00,0.0,0.0,0.0
30,07:15:00,0.0,0.0,0.0
31,07:30:00,0.0,0.0,0.0
32,07:45:00,0.0,0.0,0.0
33,08:00:00,0.0,0.0,0.0
34,08:15:00,0.0,0.0,0.0
35,08:30:00,0.0,0.0,0.0
36,08:45:00,0.0,0.0,0.0
37,09:00:00,0.0,0.0,0.0
38,09:15:00,0.0,0.0,0.0
39,09:30:00,0.0,0.0,0.0
40,09:45:00,0.0,0.0,0.0
41,10:00:00,0.0,0.0,0.0
42,10:15:00,0.0,0.0,0.0
43,10:30:00,0.0,0.0,0.0
44,10:45:00,0.0,0.0,0.0
45,11:00:00,0.0,8.799999999999926,-8.799999999999926
46,11:15:00,0.0,8.799999999999983,-8.799999999999983
47,11:30:00,0.0,8.799999999999997,-8.799999999999997
48,11:45:00,0.0,8.799999999999997,-8.799999999999997
49,12:00:00,9.177122372494095,0.0,9.177122372494095
50,12:15:00,9.177122372494095,0.0,9.177122372494095
51,12:30:00,9.177122372494095,0.0,9.177122372494095
52,12:45:00,0.0,0.0,0.0
53,13:00:00,0.0,0.0,0.0
54,13:15:00,0.0,0.0,0.0
55,13:30:00,9.177122372494095,0.0,9.177122372494095
56,13:45:00,2.2942805931260324,0.0,2.2942805931260324
57,14:00:00,0.0,0.0,0.0
58,14:15:00,0.0,0.0,0.0
59,14:30:00,0.0,0.0,0.0
60,14:45:00,0.0,0.0,0.0
61,15:00:00,0.0,0.0,0.0
62,15:15:00,0.0,0.0,0.0
63,15:30:00,0.0,0.0,0.0
64,15:45:00,0.0,0.0,0.0
65,16:00:00,0.0,0.0,0.0
66,16:15:00,0.0,0.0,0.0
67,16:30:00,0.0,0.0,0.0
68,16:45:00,0.0,0.0,0.0
69,17:00:00,0.0,16.799999999999997,-16.799999999999997
70,17:15:00,2.069522017661509e-12,16.799999999999997,-16.799999999997926
71,17:30:00,-1.4853784258005196e-12,16.799999999999997,-16.800000000001482
72,17:45:00,2.628200434818031e-12,16.79999999999352,-16.79999999999089
73,18:00:00,0.0,16.799999999999997,-16.799999999999997
74,18:15:00,-1.325332549926787e-12,16.799999999999997,-16.800000000001322
75,18:30:00,9.177122372494102,0.0,9.177122372494102
76,18:45:00,9.177122372490572,0.0,9.177122372490572
77,19:00:00,-2.823692313651433e-13,16.00000000000066,-16.00000000000094
78,19:15:00,0.0,8.000000000003084,-8.000000000003084
79,19:30:00,-2.8145754957456314e-13,8.0,-8.00000000000028
80,19:45:00,0.0,8.0,-8.0
81,20:00:00,9.177122372494095,0.0,9.177122372494095
82,20:15:00,9.177122372494095,0.0,9.177122372494095
83,20:30:00,9.177122372494095,0.0,9.177122372494095
84,20:45:00,9.177122372493745,0.0,9.177122372493745
85,21:00:00,9.177122372493763,0.0,9.177122372493763
86,21:15:00,9.177122372494788,0.0,9.177122372494788
87,21:30:00,9.17712237249409,-9.023892744153272e-12,9.177122372503113
88,21:45:00,9.177122372494095,0.0,9.177122372494095
89,22:00:00,9.177122372493821,0.0,9.177122372493821
90,22:15:00,9.177122372494095,0.0,9.177122372494095
91,22:30:00,9.177122372494095,0.0,9.177122372494095
92,22:45:00,9.177122372494095,0.0,9.177122372494095
93,23:00:00,9.177122372494095,0.0,9.177122372494095
94,23:15:00,9.177122372494095,0.0,9.177122372494095
95,23:30:00,9.177122372493853,0.0,9.177122372493853
96,23:45:00,0.0,0.0,0.0
