Metric,Unit,Optimized,Worst_Case,Savings,Savings_Percentage
Electricity Cost,USD,6.08835107158478,14.626038781163437,8.537687709578657,58.4
Carbon Emissions,kg CO2,2.8979029522904627,7.287531884179546,4.389628931889083,60.2
Total Cost,USD,8.986254023875242,21.913570665342984,12.927316641467742,59.0
