Metric,Unit,Optimized,Worst_Case,Savings,Savings_Percentage
Electricity Cost,USD,6.08835107158478,14.626038781163437,8.537687709578657,58.4
Carbon Emissions,kg CO2,0.09501330075101863,0.39779292590504506,0.30277962515402645,76.1
Total Cost,USD,6.183364372335799,15.023831707068483,8.840467334732685,58.8
