Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,00:00:00,250.0,250.0,12.5,250.0,250.0,12.5
2,00:15:00,250.0,250.0,12.5,250.0,250.0,12.5
3,00:30:00,250.0,250.0,12.5,250.0,250.0,12.5
4,00:45:00,250.0,250.0,12.5,250.0,250.0,12.5
5,01:00:00,250.0,250.0,12.5,250.0,250.0,12.5
6,01:15:00,250.0,250.0,12.5,250.0,250.0,12.5
7,01:30:00,250.0,250.0,12.5,250.0,250.0,12.5
8,01:45:00,250.0,250.0,12.5,250.0,250.0,12.5
9,02:00:00,250.0,250.0,12.5,249.99999999999417,250.0,12.5
10,02:15:00,250.0,250.0,12.5,249.999999999994,250.0,12.5
11,02:30:00,250.0,250.0,12.5,249.99999999992434,250.0,12.5
12,02:45:00,250.0,250.0,12.5,249.9999999999245,250.0,12.5
13,03:00:00,250.0,250.0,12.5,249.9999999999245,250.0,12.5
14,03:15:00,250.0,250.0,12.5,249.9999999999245,250.0,12.5
15,03:30:00,250.0,250.0,12.5,250.0,250.0,12.5
16,03:45:00,250.0,250.0,12.5,249.95,250.0,12.5
17,04:00:00,250.0,250.0,12.5,249.95,250.0,12.5
18,04:15:00,250.0,250.0,12.5,249.94999999998987,250.0,12.5
19,04:30:00,250.0,250.0,12.5,249.9500000000482,250.0,12.5
20,04:45:00,250.0,250.0,12.5,249.9500000000481,250.0,12.5
21,05:00:00,250.0,250.0,12.5,249.9500000000481,250.0,12.5
22,05:15:00,250.0,250.0,12.5,249.9500000000481,250.0,12.5
23,05:30:00,250.0,250.0,12.5,249.9500000000481,250.0,12.5
24,05:45:00,249.95,250.0,12.5,249.9500000000481,250.0,12.5
25,06:00:00,249.95,250.0,12.5,249.95000000004814,250.0,12.5
26,06:15:00,249.95,250.0,12.5,249.9500000000481,250.0,12.5
27,06:30:00,249.95,250.0,12.5,249.95000000004822,250.0,12.5
28,06:45:00,249.95,250.0,12.5,249.9500000000482,250.0,12.5
29,07:00:00,249.95,250.0,12.5,249.95000000004816,250.0,12.5
30,07:15:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
31,07:30:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
32,07:45:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
33,08:00:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
34,08:15:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
35,08:30:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
36,08:45:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
37,09:00:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
38,09:15:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
39,09:30:00,249.95,250.0,12.5,249.95000000004808,250.0,12.5
40,09:45:00,249.95000000000013,250.0,12.5,249.95000000004808,250.0,12.5
41,10:00:00,249.95000000000013,250.0,12.5,249.95000000004808,250.0,12.5
42,10:15:00,249.95000000000005,250.0,12.5,249.95000000004808,250.0,12.5
43,10:30:00,249.95000000000005,250.0,12.5,249.95000000004805,250.0,12.5
44,10:45:00,249.95000000000005,250.0,12.5,249.95000000004808,250.0,12.5
45,11:00:00,247.6342105263158,250.0,12.5,245.2131578947849,250.0,12.5
46,11:15:00,245.3184210526316,250.0,12.5,240.47631578952172,250.0,12.5
47,11:30:00,243.0026315789474,250.0,12.5,235.73947368425857,250.0,12.5
48,11:45:00,240.68684210526317,250.0,12.5,231.00263157899542,250.0,12.5
49,12:00:00,244.61793372299462,250.0,12.5,231.00263157899542,250.0,12.5
50,12:15:00,248.59902534072603,250.0,12.5,226.26578947373227,250.0,12.5
51,12:30:00,248.59902534072603,250.0,12.5,230.1968810914637,250.0,12.5
52,12:45:00,248.59902534072603,250.0,12.5,234.1779727091951,250.0,12.5
53,13:00:00,250.0,250.0,12.5,236.75808966765254,250.0,12.5
54,13:15:00,250.0,250.0,12.5,240.73918128538395,250.0,12.5
55,13:30:00,250.0,250.0,12.5,244.72027290311536,250.0,12.5
56,13:45:00,250.0,250.0,12.5,248.70136452084677,250.0,12.5
57,14:00:00,250.0,250.0,12.5,248.70136452084677,250.0,12.5
58,14:15:00,250.0,250.0,12.5,248.70136452084677,250.0,12.5
59,14:30:00,250.00000001271482,250.0,12.5,250.00000000000242,250.0,12.5
60,14:45:00,250.0,250.0,12.5,249.9500000000024,250.0,12.5
61,15:00:00,249.95,250.0,12.5,249.9500000000024,250.0,12.5
62,15:15:00,249.95,250.0,12.5,249.9500000000024,250.0,12.5
63,15:30:00,249.9500000126373,250.0,12.5,249.9500000000024,250.0,12.5
64,15:45:00,249.9500000126373,250.0,12.5,249.9500000000024,250.0,12.5
65,16:00:00,249.95000000545974,250.0,12.5,249.9500000000024,250.0,12.5
66,16:15:00,249.95000000545974,250.0,12.5,249.9500000000024,250.0,12.5
67,16:30:00,249.95000000545974,250.0,12.5,249.9500000000024,250.0,12.5
68,16:45:00,249.95000000545974,250.0,12.5,249.9500000000024,250.0,12.5
69,17:00:00,245.52894737388078,250.0,12.5,241.26578947368662,250.0,12.5
70,17:15:00,249.46003899161218,250.0,12.5,232.58157894737082,250.0,12.5
71,17:30:00,240.7258284652964,250.0,12.5,236.5126705651022,250.0,12.5
72,17:45:00,232.04161793898064,250.0,12.5,240.49376218283365,250.0,12.5
73,18:00:00,235.97270955671206,250.0,12.5,231.75955165651786,250.0,12.5
74,18:15:00,239.95380117444347,250.0,12.5,223.07534113020213,250.0,12.5
75,18:30:00,235.693274858654,250.0,12.5,227.00643274793356,250.0,12.5
76,18:45:00,231.27222222707505,250.0,12.5,230.98752436566497,250.0,12.5
77,19:00:00,226.85116959549617,250.0,12.5,234.96861598339638,250.0,12.5
78,19:15:00,222.43011696391724,250.0,12.5,238.9497076011278,250.0,12.5
79,19:30:00,218.0090643323383,250.0,12.5,242.93079921885922,250.0,12.5
80,19:45:00,213.58801170075935,250.0,12.5,246.91189083659066,250.0,12.5
81,20:00:00,217.51910331849075,250.0,12.5,245.54610136290643,250.0,12.5
82,20:15:00,221.50019493622216,250.0,12.5,241.59873294185377,250.0,12.5
83,20:30:00,225.48128655395357,250.0,12.5,237.65136452080117,250.0,12.5
84,20:45:00,229.46237817168497,250.0,12.5,229.2303118892222,250.0,12.5
85,21:00:00,232.5292397672957,250.0,12.5,230.0945419113429,250.0,12.5
86,21:15:00,232.5292397672957,250.0,12.5,234.0756335290743,250.0,12.5
87,21:30:00,236.51033138502711,250.0,12.5,234.0756335290743,250.0,12.5
88,21:45:00,236.51033138502711,250.0,12.5,238.05672514680572,250.0,12.5
89,22:00:00,234.3550682271324,250.0,12.5,242.03781676453715,250.0,12.5
90,22:15:00,232.24980506923762,250.0,12.5,246.0189083822686,250.0,12.5
91,22:30:00,230.14454191134288,250.0,12.5,250.0,250.0,12.5
92,22:45:00,234.0756335290743,250.0,12.5,250.0,250.0,12.5
93,23:00:00,238.05672514680572,250.0,12.5,250.0,250.0,12.5
94,23:15:00,242.03781676453713,250.0,12.5,250.0,250.0,12.5
95,23:30:00,246.01890838226856,250.0,12.5,250.0,250.0,12.5
96,23:45:00,250.0,250.0,12.5,250.0,250.0,12.5
