Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
1,00:00:00,19.8,21.78,3.564,25.0,27.5,4.5
2,00:15:00,19.8,21.78,3.564,25.0,27.5,4.5
3,00:30:00,19.8,21.78,3.564,25.0,27.5,4.5
4,00:45:00,19.8,21.78,3.564,25.0,27.5,4.5
5,01:00:00,19.8,21.78,3.564,25.0,27.5,4.5
6,01:15:00,19.8,21.78,3.564,25.0,27.5,4.5
7,01:30:00,19.8,21.78,3.564,25.0,27.5,4.5
8,01:45:00,19.8,21.78,3.564,25.0,27.5,4.5
9,02:00:00,19.8,21.78,3.564,25.0,27.5,4.5
10,02:15:00,19.8,21.78,3.564,25.0,27.5,4.5
11,02:30:00,19.8,21.78,3.564,25.0,27.5,4.5
12,02:45:00,19.8,21.78,3.564,25.0,27.5,4.5
13,03:00:00,19.8,21.78,3.564,25.0,27.5,4.5
14,03:15:00,19.8,21.78,3.564,25.0,27.5,4.5
15,03:30:00,19.8,21.78,3.564,25.0,27.5,4.5
16,03:45:00,19.8,21.78,3.564,25.0,27.5,4.5
17,04:00:00,19.8,21.78,3.564,25.0,27.5,4.5
18,04:15:00,19.8,21.78,3.564,25.0,27.5,4.5
19,04:30:00,19.8,21.78,3.564,25.0,27.5,4.5
20,04:45:00,19.8,21.78,3.564,25.0,27.5,4.5
21,05:00:00,19.8,21.78,3.564,25.0,27.5,4.5
22,05:15:00,19.8,21.78,3.564,25.0,27.5,4.5
23,05:30:00,19.8,21.78,3.564,25.0,27.5,4.5
24,05:45:00,19.8,21.78,3.564,25.0,27.5,4.5
25,06:00:00,19.8,21.78,3.564,25.0,27.5,4.5
26,06:15:00,19.8,21.78,3.564,25.0,27.5,4.5
27,06:30:00,19.8,21.78,3.564,25.0,27.5,4.5
28,06:45:00,19.8,21.78,3.564,25.0,27.5,4.5
29,07:00:00,19.8,21.78,3.564,25.0,27.5,4.5
30,07:15:00,19.8,21.78,3.564,25.0,27.5,4.5
31,07:30:00,19.8,21.78,3.564,25.0,27.5,4.5
32,07:45:00,19.8,21.78,3.564,25.0,27.5,4.5
33,08:00:00,19.8,21.78,3.564,25.0,27.5,4.5
34,08:15:00,19.05,21.78,3.564,25.0,27.5,4.5
35,08:30:00,18.3,21.78,3.564,25.0,27.5,4.5
36,08:45:00,17.55,21.78,3.564,25.0,27.5,4.5
37,09:00:00,16.8,21.78,3.564,25.0,27.5,4.5
38,09:15:00,16.05,21.78,3.564,25.0,27.5,4.5
39,09:30:00,15.3,21.78,3.564,25.0,27.5,4.5
40,09:45:00,14.55,21.78,3.564,25.0,27.5,4.5
41,10:00:00,13.8,21.78,3.564,25.0,27.5,4.5
42,10:15:00,13.05,21.78,3.564,25.0,27.5,4.5
43,10:30:00,12.3,21.78,3.564,25.0,27.5,4.5
44,10:45:00,11.55,21.78,3.564,25.0,27.5,4.5
45,11:00:00,10.8,21.78,3.564,25.0,27.5,4.5
46,11:15:00,19.8,21.78,3.564,25.0,27.5,4.5
47,11:30:00,19.8,21.78,3.564,25.0,27.5,4.5
48,11:45:00,19.8,21.78,3.564,25.0,27.5,4.5
