Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg,Missed_Work_kWh
1,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
4,00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
8,01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:30:00,0.05263157894736842,0.005263157894736842,0.002631578947368421,0.005263157894736842,0.002631578947368421,0.0
12,02:45:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
13,03:00:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
14,03:15:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
15,03:30:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
16,03:45:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
17,04:00:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
18,04:15:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
19,04:30:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
20,04:45:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
21,05:00:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
22,05:15:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
23,05:30:00,0.0,0.0,0.0,0.005263157894736842,0.002631578947368421,0.0
24,05:45:00,0.05263157894736842,0.005263157894736842,0.002631578947368421,0.010526315789473684,0.005263157894736842,0.0
25,06:00:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
26,06:15:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
27,06:30:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
28,06:45:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
29,07:00:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
30,07:15:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
31,07:30:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
32,07:45:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
33,08:00:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
34,08:15:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
35,08:30:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
36,08:45:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
37,09:00:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
38,09:15:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
39,09:30:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
40,09:45:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
41,10:00:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
42,10:15:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
43,10:30:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
44,10:45:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
45,11:00:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
46,11:15:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
47,11:30:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
48,11:45:00,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0
