Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
57,14:00:00,13.23599999999999,19.8,3.96,17.0,25.0,5.0
58,14:15:00,12.48599999999999,19.8,3.96,16.0,25.0,5.0
59,14:30:00,11.73599999999999,19.8,3.96,15.0,25.0,5.0
60,14:45:00,10.98599999999999,19.8,3.96,14.0,25.0,5.0
61,15:00:00,10.23599999999999,19.8,3.96,13.0,25.0,5.0
62,15:15:00,9.48599999999999,19.8,3.96,12.0,25.0,5.0
63,15:30:00,8.73599999999999,19.8,3.96,11.0,25.0,5.0
64,15:45:00,7.98599999999999,19.8,3.96,10.0,25.0,5.0
65,16:00:00,7.23599999999999,19.8,3.96,9.0,25.0,5.0
66,16:15:00,6.48599999999999,19.8,3.96,8.0,25.0,5.0
67,16:30:00,5.73599999999999,19.8,3.96,7.0,25.0,5.0
68,16:45:00,4.98599999999999,19.8,3.96,6.0,25.0,5.0
69,17:00:00,4.23599999999999,19.8,3.96,5.0,25.0,5.0
70,17:15:00,6.34499999999999,19.8,3.96,7.1090000000000035,25.0,5.0
71,17:30:00,8.45399999999999,19.8,3.96,9.218000000000004,25.0,5.0
72,17:45:00,10.56299999999999,19.8,3.96,11.327000000000004,25.0,5.0
73,18:00:00,12.67199999999999,19.8,3.96,13.436000000000003,25.0,5.0
74,18:15:00,14.78099999999999,19.8,3.96,15.545000000000003,25.0,5.0
75,18:30:00,16.889999999999986,19.8,3.96,17.654000000000003,25.0,5.0
76,18:45:00,18.998999999999988,19.8,3.96,19.763000000000005,25.0,5.0
77,19:00:00,19.799999999999997,19.8,3.96,21.872,25.0,5.0
78,19:15:00,19.8,19.8,3.96,23.981,25.0,5.0
79,19:30:00,19.8,19.8,3.96,25.0,25.0,5.0
80,19:45:00,19.8,19.8,3.96,25.0,25.0,5.0
81,20:00:00,19.8,19.8,3.96,25.0,25.0,5.0
82,20:15:00,19.8,19.8,3.96,25.0,25.0,5.0
83,20:30:00,19.8,19.8,3.96,25.0,25.0,5.0
84,20:45:00,19.8,19.8,3.96,25.0,25.0,5.0
85,21:00:00,19.8,19.8,3.96,25.0,25.0,5.0
86,21:15:00,19.8,19.8,3.96,25.0,25.0,5.0
87,21:30:00,19.8,19.8,3.96,25.0,25.0,5.0
88,21:45:00,19.8,19.8,3.96,25.0,25.0,5.0
89,22:00:00,19.8,19.8,3.96,25.0,25.0,5.0
90,22:15:00,19.8,19.8,3.96,25.0,25.0,5.0
91,22:30:00,19.8,19.8,3.96,25.0,25.0,5.0
92,22:45:00,19.8,19.8,3.96,25.0,25.0,5.0
93,23:00:00,19.8,19.8,3.96,25.0,25.0,5.0
94,23:15:00,19.8,19.8,3.96,25.0,25.0,5.0
95,23:30:00,19.8,19.8,3.96,25.0,25.0,5.0
96,23:45:00,19.8,19.8,3.96,25.0,25.0,5.0
