Metric,Value
Objective_Value,88.6091412742353
Total_Grid_Energy_kWh,279.1135734071949
Total_Energy_Cost_USD,27.91135734071949
Total_CO2_Emissions_kg,13.955678670359745
Peak_Demand_kW,50.0
Total_Missed_Work_kWh,99.99999999999636
Delta_T_hours,0.25
