Demand 08/06/2025 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,28596,27079,27079,27079,27079,27079,27079,27079,27079,27079,27079,27079,27079,25679,25679,25679,25679,25679,25679,25679,25679,25679,25679,25679,25679,24446,24446,24446,24446,24446,24446,24446,24446,24446,24446,24446,24446,23752,23752,23752,23752,23752,23752,23752,23752,23752,23752,23752,23752,23844,23844,23844,23844,23844,23844,23844,23844,23844,23844,23844,23844,24694,24694,24694,24694,24694,24694,24694,24694,24694,24694,24694,24694,25753,25753,25753,25753,25753,25753,25753,25753,25753,25753,25753,25753,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524,26563,26563,26563,26563,26563,26563,26563,26563,26563,26563,26563,26563,26131,26131,26131,26131,26131,26131,26131,26131,26131,26131,26131,26131,25976,25976,25976,25976,25976,25976,25976,25976,25976,25976,25976,25976,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,26244,27195,27195,27195,27195,27195,27195,27195,27195,27195,27195,27195,27195,28889,28889,28889,28889,28889,28889,28889,28889,28889,28889,28889,28889,31128,31128,31128,31128,31128,31128,31128,31128,31128,31128,31128,31128,33441,33441,33441,33441,33441,33441,33441,33441,33441,33441,33441,33441,35649,35649,35649,35649,35649,35649,35649,35649,35649,35649,35649,35649,37298,37298,37298,37298,37298,37298,37298,37298,37298,37298,37298,37298,38116,38116,38116,38116,38116,38116,38116,38116,38116,38116,38116,38116,37459,37459,37459,37459,37459,37459,37459,37459,37459,37459,37459,37459,36432,36432,36432,36432,36432,36432,36432,36432,36432,36432,36432,36432,34916,34916,34916,34916,34916,34916,34916,34916,34916,34916,34916,34916,32463,32463,32463,32463,32463,32463,32463,32463,32463,32463,32463,32463,29793,29793,29793,29793,29793,29793,29793,29793,29793,29793,29793,29793
Hour-ahead forecast,27731,27731,27731,27731,27500,27500,27500,27033,27033,27033,26529,26529,26529,26133,26133,26133,25772,25772,25772,25393,25393,25393,25030,25030,25030,24759,24759,24759,24434,24434,24434,24166,24166,24166,23912,23912,23912,23796,23796,23796,23632,23632,23632,23466,23466,23466,23433,23433,23433,23518,23518,23518,23567,23567,23567,23572,23572,23572,23590,23590,23590,23948,23948,23948,24192,24192,24192,24483,24483,24483,24679,24679,24679,25217,25217,25217,25365,25365,25365,25547,25547,25547,25597,25597,25597,25936,25936,25936,26109,26109,26109,26086,26086,26086,25873,25873,25873,25909,25909,25909,25820,25820,25820,25787,25787,25787,25911,25911,25911,26026,26026,26026,25788,25788,25788,25629,25629,25629,25645,25645,25645,25744,25744,25744,25852,25852,25852,25960,25960,25960,26143,26143,26143,26277,26277,26277,26261,26261,26261,26739,26739,26739,27019,27019,27019,27485,27485,27485,27856,27856,27856,28148,28148,28148,28736,28736,28736,29112,29112,29112,29759,29759,29759,30399,30399,30399,30796,30796,30796,31202,31202,31202,31968,31968,31968,32605,32605,32605,33279,33279,33279,33830,33830,33830,34425,34425,34425,35075,35075,35075,35848,35848,35848,36003,36003,36003,36560,36560,36560,37184,37184,37184,37798,37798,37798,38067,38067,38067,38549,38549,38549,39019,39019,39019,39311,39311,39311,39368,39368,39368,39669,39669,39669,39682,39682,39682,39582,39582,39582,39273,39273,39273,39106,39106,39106,38962,38962,38962,38324,38324,38324,38052,38052,38052,37811,37811,37811,37319,37319,37319,36961,36961,36961,36789,36789,36789,36425,36425,36425,35811,35811,35811,35259,35259,35259,34513,34513,34513,33822,33822,33822,33116,33116,33116,32371,32371,32371,31670,31670,31670,31040,31040,31040,30440,30440,30440,29896,29896,29896
Demand,27591,27768,27802,27668,27545,27431,27245,27093,26959,26827,26661,26499,26320,26228,26149,26005,25882,25757,25643,25488,25371,25258,25187,25031,24841,24821,24784,24692,24626,24495,24381,24287,24208,24093,23989,23922,23879,23889,23913,23798,23744,23680,23638,23605,23542,23487,23434,23402,23355,23387,23505,23513,23533,23492,23502,23524,23570,23571,23599,23640,23740,23911,24054,24228,24302,24349,24382,24485,24573,24641,24704,24801,24834,25091,25262,25349,25366,25402,25477,25579,25536,25651,25722,25704,25691,25913,25921,26066,26055,26085,26003,25899,25994,26097,26034,25951,25957,26428,26493,26396,26462,26589,26427,26286,26257,26219,26095,26079,26179,26441,26369,26155,26147,26157,26131,26058,26084,26019,26143,26056,26032,26176,26124,26165,26144,26236,26212,26125,26056,26233,26474,26475,26461,26576,26643,26439,26597,26757,26758,26854,26957,27090,27198,27209,27282,27593,27716,27760,27868,28032,28220,28304,28448,28605,28894,29060,29114,29289,29370,29430,29560,29729,29949,30197,30469,30569,30945,30987,31246,31489,31629,31796,32063,32214,32386,32523,32747,32993,33226,33476,33710,33979,34071,34303,34314,34739,34931,35095,35327,35656,35888,36053,36253,36143,36201,36361,36579,36782,37000,37150,37381,37566,37853,38013,38170,37950,38036,38283,38495,38682,38962,39098,39255,39370,39519,39589,39791,39500,39219,39352,39608,39671,39767,39833,39957,39978,40011,40029,40078,39404,39269,39122,39043,38923,38793,38728,38610,38446,38328,38225,38139,38190,38191,38111,38064,37948,37844,37753,37628,37446,37240,37112,36921,36990,37022,36880,36714,36501,36317,36151,35964,35757,35577,35346,35052,34820,34624,34469,34144,34009,33535,33456,33182,32914,32648,32416,32180,31965,31741,31492,31207,31016,30787,30535,30271,30098,29862,29692,
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
