Metric,Value
Objective Value ($),0.5718053251211367
Electricity Cost ($),0.4182825484764539
Carbon Emissions (kg CO2),0.15352277664468275
Total Energy Consumed (kWh),27.079384749963538
Energy from Grid (kWh),14.579384749963538
Energy for Work (kWh),12.5
Energy for Travel (kWh),0.0
Work Completion (kWh),12.5
Missed Work (kWh),0.0
Work Completion Percentage (%),100.0
Solve Time (seconds),3.810594081878662
Average Electricity Price ($/kWh),0.03829291666666667
Average Emission Factor (kg CO2/kWh),0.012389501330753429
